Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISBN,Año,Palabras,Area,Sectores
GINNOVA,Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología, Libro resultado de investigación ," NELSON JAVIER TOVAR PERILLA, HELGA PATRICIA BERMEO ANDRADE",Colombia, Ediciones Unibagué,," 978-958-754-313-1,",2018,,,
GINNOVA,"Logística para la integración del valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,", Libro resultado de investigación ," HELGA PATRICIA BERMEO, NELSON JAVIER TOVAR PERILLA",Colombia, Universidad de Ibagué,," 978-958-754-313-1,",2018,,,
GINNOVA,Logística para la integración de valor en la Cadena Hortofrutícola del Tolima, Libro resultado de investigación ," HELGA PATRICIA BERMEO ANDRADE, NELSON JAVIER TOVAR PERILLA, CLAUDIA PATRICIA VALENZUELA REAL, YANNETH BOHORQUEZ PEREZ, LUIS FELIPE LOZADA VALENCIA, CAROLINA SAAVEDRA MORENO, ANDRES ALBERTO GARCIA LEON, JIMMY ALEXANDER CARVAJAL BELTRAN, IVAN GUILLERMO ANGULO POSSE, JOSE FIDEL TORRES DELGADO, GLORIA MERCEDES LOPEZ OROZCO, ANDREA MILENA SANCHEZ RIANO, OMAR ARLEY ARENAS QUIMBAYO, FRANCISCO JAVIER TOCORA SUSA, JHUSTY MELIZA MORENO HENAO",Colombia, Ediciones Unibagué,," 978-958-754-274-5,",2017,,,
GINNOVA,Diseño de buenas practicas logísticas para la gestión de proveedores de las distribuidoras TaT del municipio de Ibagué-Tolima, Libro resultado de investigación ," NELSON JAVIER TOVAR PERILLA, CAROLINA SAAVEDRA MORENO",Colombia, Universidad De Ibague Coruniversitaria,," 978-958-15-0195-3,",2015,,,
GINNOVA,Diseño de buenas practicas logísticas para la gestión de proveedores de las distribuidoras TaT del municipio de Ibagué-Tolima, Libro resultado de investigación ," LUIS FELIPE LOZADA VALENCIA, JAIME ANDRES MORALES SAAVEDRA, JULIAN ALONSO GARZON QUIROGA, NELSON JAVIER TOVAR PERILLA, CAROLINA SAAVEDRA MORENO, MILTON YEZID LUNA RAMIREZ",Colombia, Ediciones SENA,," 978-958-15-0195-3,",2015,,,
GINNOVA,Seis Sigma. Guía didáctica para Pymes, Libro resultado de investigación , MARTHA LUCIA PEREZ URREGO,Colombia, Universidad de Ibagué,," 978-958-754-083-3,",2013,,,
GINNOVA,Seis Sigma. Guía didáctica para Pymes, Libro resultado de investigación , MARTHA LUCIA PEREZ URREGO,Colombia, Universidad de Ibagué,," 978-958-754-084-0,",2013,,,
GINNOVA,El Potencial Logístico En Las Agrocadenas Del Tolima, Libro resultado de investigación ," NELSON JAVIER TOVAR PERILLA, HELGA PATRICIA BERMEO, ANDRES ALBERTO GARCIA LEON, ADRIANA ISABEL LINARES VANEGAS, HELGA PATRICIA BERMEO ANDRADE",Colombia, Universidad de Ibagué,," 978-958-754-028-4,",2011,,,
GINNOVA,El Potencial Logístico En Las Agrocadenas Del Tolima, Libro resultado de investigación ," NELSON JAVIER TOVAR PERILLA, HELGA PATRICIA BERMEO ANDRADE, ANDRES ALBERTO GARCIA LEON, ADRIANA ISABEL LINARES VANEGAS",Colombia, Universidad de Ibagué,," 978-958-754-028-4,",2011,,,
GINNOVA,El Potencial Logístico En Las Agrocadenas Del Tolima, Libro resultado de investigación ," NELSON JAVIER TOVAR, HELGA PATRICIA BERMEO ANDRADE, ANDRES ALBERTO GARCIA LEON, NELSON JAVIER TOVAR PERILLA, ADRIANA ISABEL LINARES VANEGAS",Colombia, Universidad de Ibagué,," 978-958-754-028-4,",2011,,,
GINNOVA,El Potencial Logístico En Las Agrocadenas Del Tolima, Libro resultado de investigación ," NELSON JAVIER TOVAR PERILLA, HELGA PATRICIA BERMEO ANDRADE, ANDRES ALBERTO GARCIA LEON, ADRIANA ISABEL LINARES VANEGAS",Colombia, Universidad de Ibagué,," 978-958-754-028-4,",2011,,,
GINNOVA,Prospectiva Para La Innovación En La Agrocadena Del Aguacate En El Tolima, Libro resultado de investigación , HELGA PATRICIA BERMEO ANDRADE,Colombia, Universidad de Ibagué,," 978-958-754-016-1,",2010,,,
GINNOVA,Prospectiva Para La Innovación En La Agrocadena Del Aguacate En El Tolima, Libro resultado de investigación ," HELGA PATRICIA BERMEO, CAROLINA SAAVEDRA MORENO, ANGELICA PIEDAD SANDOVAL ALDANA",Colombia, Universidad de Ibagué,," 978-958-754-016-1,",2010,,,
GINNOVA,Investigación De Operaciones I, Libro resultado de investigación , FRANCISCO ALFONSO CHEDIAK PINZON,Colombia, León Editores,," 958-8028-21-3,",2002,,,
GINNOVA,Modelo De Gestión De Calidad Para La Pequeña Y Mediana Empresa Manufacturera Tolima - Colombia., Libro resultado de investigación , MARTHA LUCIA PEREZ URREGO,España, Universida Politecnica De Valencia,," 8468804576,",2002,,,
