Grupo,Nombre del producto,Tipo,Autores,Lugar,Editorial,Libro,DOI,ISBN,Año,Volumen,Página inicial,Página final,Palabras,Area,Sectores
NATURATU,Propuesta Pedagógica para el fortalecimiento de conocimientos en física y matemáticas, Capítulo de libro ," ALEXANDER CORTES SOTO, NYCKYIRET FLOREZ BARRETO",Colombia, Ediciones Uniandes, Experiencias,, 978-958-774-916-5, 2020,. ,59 , 73,,,
NATURATU,"Colombia, país de peces", Capítulo de libro ," JAVIER MALDONADO OCAMPO, CARLOS LUIS DONASCIMIENTO MONTOYA, EDGAR ESTEBAN HERRERA COLLAZOS, FRANCISCO ANTONIO VILLA NAVARRO, JORGE ENRIQUE GARCIA MELO",Colombia, Agenda del Mar Comunicaciones, La pesca en Colombia: del agua a la mesa,, 978-958-8915-87-6, 2019,. ,19 , 22,,,
NATURATU,"Phyllostomid bats as a model to test zoogeographic units in Ecuador: insights for biogeography, conservation, and management.0", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Estados Unidos, Museum of Texas Tech University, From Field to Laboratory: A Memorial Volume in Honor of Robert J. Baker,, 1-929330-37-5, 2019,. ,309 , 331,,,
NATURATU,Briófitos y líquenes, Capítulo de libro ," ALFREDO JOSE TORRES BENITEZ, SANTIAGO NICOLAS ZARATE ARIAS, JUAN CAMILO GOMEZ, ANA MARIA CALDERON",Colombia, Editorial Universidad De Ibague Coruniversitaria, MARIPOSARIO DEL TOLIMA Laboratorio de Biodiversidad Urbana,, 978-958-754-311-7, 2018,. ,53 , 59,,,
NATURATU,"Ecología poblacional del caimán aguja (Crocodylus acutus Cuvier, 1807) en el Parque Nacional Natural Tayrona, Caribe colombiano", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Colombia, Empresa Editorial Universidad Nacional De Colombia, Homenaje a Federico Medem,, 978-958-783-693-6, 2018,. ,49 , 59,,,
NATURATU,"Cómo lograr coexistencia entre cocodrilos y humanos? relaciones etnozoológicas entre el caimán aguja y las comunidades humanas en el Parque Nacional Natural Tayrona, Caribe colombiano.", Capítulo de libro , SERGIO ALEJANDRO BALAGUERA REINA,Colombia, Empresa Editorial Universidad Nacional De Colombia, Homenaje a Federico Medem,, 978-958-783-693-6, 2018,. ,89 , 98,,,
NATURATU,Optimizing the Biogas production of an anaerobic reactor throughout Model Predictive Control, Otro capítulo de libro publicado ," JAIRO ANDRES HERNANDEZ NARANJO, MAXIMILIANO MACHADO HIGUERA",Ecuador, EPN Editorial | Ingeniería Electrónica y Eléctrica, PROCEEDiNGS OF THE XViii LATiN AMERiCAN CONFERENCE iN AUTOMATiC CONTROL,, 978-9942-35-525-6, 2018,. ,31 , 32,,,
NATURATU,Violencia extractivista y el reto de la reconciliación con la naturaleza en el posacuerdo, Capítulo de libro , RICHARD CLAYTON DOUGHMAN III,Colombia, Universidad del Rosario, Los olvidados de la paz,, 9789587840940, 2018,. ,200 , ,,,
NATURATU,Dating Mountain Building: Exhumation and Surface Uplift, Capítulo de libro ," MATTHIAS BERNET, VERONICA TORRES ACOSTA, MAURICIO ALBERTO BERMUDEZ CELLA",Estados Unidos, John Wiley & Sons Ltd, Mountains,, 978-1-119-15987-2, 2018,. ,69 , 80,,,
NATURATU,Guia para elaborar un ensayo académico, Otro capítulo de libro publicado ," RICHARD CLAYTON DOUGHMAN III, MARTHA ELIZABETH FAJARDO VALBUENA",Colombia, Editorial Universidad De Ibague Coruniversitaria, Guías para la producción de textos académicos,, 2216-0302, 2018,. ,28 , 31,,,
NATURATU,Dating Mountain Building: Exhumation and Surface Uplift, Otro capítulo de libro publicado ," MAURICIO ALBERTO BERMUDEZ CELLA, MATTHIAS BERNET, VERONICA TORRES ACOSTA",Estados Unidos, Wiley-Blackwell, Mountains,, 978-1-119-15987-2, 2018,. ,69 , 80,,,
NATURATU,Antocephala berlepschi, Capítulo de libro ," ALEJANDRO RICO GUEVARA, ANDREA MORALES ROZO, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,200 , 203,,,
NATURATU,Antocephala floriceps, Capítulo de libro ," ANDREA MORALES ROZO, ALEJANDRO RICO GUEVARA, MIGUEL CESAR MORENO PALACIOS, MARIA LOZANO JARAMILLO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,196 , 198,,,
NATURATU,Crax alberti, Capítulo de libro ," JOSE MANUEL OCHOA QUINTERO, ISABEL MELO VASQUEZ, MIGUEL CESAR MORENO PALACIOS",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo de Aves de Colombia,, 978-958-716-980-5, 2016,. ,96 , 102,,,
NATURATU,Enhanced blue photoluminescence of B2O3-CaF2 glass-ceramics containing silver nanoparticles LTu3A.5, Capítulo de libro , LUZ PATRICIA NARANJO RIANO,Estados Unidos, OSA Publishing, Latin America Optics and Photonics Conference © OSA 2016,, 978-194358016-3, 2016,. ,1 , 3,,,
NATURATU,Optic Method to Determine the Organic Matter Level on Water Using Phthalate Potassium, Capítulo de libro , LUZ PATRICIA NARANJO RIANO,Estados Unidos, OSA Publishing, Latin America Optics and Photonics Conference © OSA 2016,, 978-194358016-3, 2016,. ,1 , 3,,,
NATURATU,Nutria: Fauna vertebrada de la Central Hidroeléctrica Miel I, Capítulo de libro ," GIOVANY GUEVARA CARDONA, LIDA MARCELA FRANCO PEREZ",Colombia, Publicaciones Universidad de Caldas,  Fauna vertebrada de la Central Hidroeléctrica Miel I,, 9789584682956, 2016,. ,95 , 104,,,
NATURATU,Revisión de Estudios Termocronológicos por Trazas de Fisión en Apatitos a lo Largo de Los Andes de Venezuela y su Relación con el Contexto Geodinámico Caribe, Otro capítulo de libro publicado , MAURICIO ALBERTO BERMUDEZ CELLA,Venezuela, Revista de la Facultad de Ingeniería, El Límite Noreste De La Placa Suramericana: Estructuras Litosféricas De La Superficie Al Manto,, 978-980-00-2800-1, 2015,. ,305 , 321,,,
NATURATU,Conectando la Universidad con la Biósfera, Otro capítulo de libro publicado ," MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 194,,,
NATURATU,Conectando la Universidad con la Biósfera, Otro capítulo de libro publicado ," MIGUEL CESAR MORENO PALACIOS, BLANCA MYRIAM SALGUERO LONDONO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 194,,,
NATURATU,Cattleya trianae Classification and Varieties by Colorimetry, Capítulo de libro ," MANUEL GUILLERMO FORERO VARGAS, CARLOS EDUARDO BELTRAN REYES",Colombia, IEEE Publications, 2015 20th SYMPOSIUM ON SIGNAL PROCESSING,, 978-1-4673-9460-4, 2015,. ,384 , 388,,,
NATURATU,"Erythrina Alkaloids: Recent Advances in Their Synthesis, Isolation and Pharmacology", Capítulo de libro ," OLIMPO JOSE GARCIA BELTRAN, MIGUEL CESAR MORENO PALACIOS",Estados Unidos, NOVA Publisher, Alkaloids; Biosynthesis,, 978-1-63482-075-2, 2015,. ,107 , 130,,,
NATURATU,Naturaleza Inadvertida Conectando la Universidad con la Biosfera, Capítulo de libro , BLANCA MYRIAM SALGUERO LONDONO,Colombia, Editorial Universidad De Ibague Coruniversitaria, Naturaleza Inadvertida: Conectado La Universidad Con La Bióesfera,, 9789587541571, 2015,. ,179 , 191,,,
NATURATU,"Erythrina alkaloids. Recent advances in their synthesis, isolation and pharmacology", Capítulo de libro ," OLIMPO JOSE GARCIA BELTRAN, MIGUEL CESAR MORENO PALACIOS",Estados Unidos, Nova Science Publishers, Alkaloids; Biosynthesis,, 978-1-63482-075-2, 2015,. ,107 , 129,,,
NATURATU,Creurgops verticalis, Capítulo de libro ," EDUARDO GALLO CAJIAO, MIGUEL CESAR MORENO PALACIOS",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,288 , 290,,,
NATURATU,Xenopipo flavicapilla, Capítulo de libro , MIGUEL CESAR MORENO PALACIOS,Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,272 , 274,,,
NATURATU,Leptotila conoveri, Capítulo de libro ," ANGELICA CARVAJAL RUEDA, MIGUEL CESAR MORENO PALACIOS, SERGIO LOSADA PRADO",Colombia, Ecoe Ediciones Universidad Javeriana, Libro Rojo De Aves De Colombia,, 9789587166712, 2014,. ,113 , 116,,,
NATURATU,Efecto de la orientación cristalina del SrTiO3 sobre las propiedades dieléctricas, Capítulo de libro ," ALEXANDER CORTES SOTO, WILSON LOPERA MUNOZ, PEDRO ANTONIO PRIETO PULIDO",España, Society for Nanomolecular Photovoltaics (SEFIN), Nanotecnología para Energías en Latinoamérica,, 978-84-940189-9-2, 2012,. ,70 , 70,,,
D+TEC - Desarrollo Tecnológico,Hysteresis control methods, Capítulo de libro ," DIEGO FERNANDO SALAZAR D ANTONIO, OSWALDO LOPEZ SANTOS, CARLOS ANDRES TORRES PINZON",Inglaterra, Elsevier Academic Press, Multilevel Inverters - Control Methods and Advanced Power Electronic Applications,, 978-0-323-90217-5, 2021,. ,35 , 60,,,
D+TEC - Desarrollo Tecnológico,Segmentation techniques, Capítulo de libro ," CARLOS ANTONIO JACANAMEJOY JAMIOY, MANUEL GUILLERMO FORERO VARGAS",Suecia, Springer Nature Switzerland, Modern Trends in Diatom Identification,, 978-3-030-39212-3, 2020,. ,135 , 149,,,
D+TEC - Desarrollo Tecnológico,The Effect of Weld Reinforcement and Post-Welding Cooling Cycles on Fatigue Strength of Butt-Welded Joints under Cyclic Tensile Loading, Capítulo de libro ," NELSON ARZOLA DE LA PENA, OSCAR ARAQUE DE LOS RIOS",Suiza, MDPI, Machining¿Recent Advances,, 978-3-03921-378-8, 2019,. ,52 , 70,,,
D+TEC - Desarrollo Tecnológico,Cambios en la variabilidad de la tasa cardíaca en gallinas ponedoras suplementadas con sustancias húmicas, Otro capítulo de libro publicado , LUISA FERNANDA GALLO SANCHEZ,Ecuador, Universidad Técnica de Cotopaxi, VI Congreso Internacional de medicina Veterinaria y Zootecnia,, -978-9942-14-054-8, 2016,. ,41 , 47,,,
D+TEC - Desarrollo Tecnológico,A Matlab® approach for implementing control algorithms in Real-time: RTWT, Capítulo de libro , JAIRO ANDRES HERNANDEZ NARANJO,Inglaterra, INTECH, Engineering Education and Research Using MATLAB,, 978-953-307-656-0, 2011,. ,55 , 70,,,
D+TEC - Desarrollo Tecnológico,Bioreactor Modeling with an in situ Lactate Recovery through REED, Otro capítulo de libro publicado ," OSCAR ANDRES PRADO RUBIO, STEN BAY JØRGENSEN, GUNNAR EIGIL JONSSON",Dinamarca,, Graduate School Yearbook 2009,, 978-87-92481-14-6, 2010,. ,155 , 158,,,
D+TEC - Desarrollo Tecnológico,Modeling Electro-Enhanced Membrane Separation for Anion Recovery, Otro capítulo de libro publicado ," OSCAR ANDRES PRADO RUBIO, STEN BAY JØRGENSEN, GUNNAR EIGIL JONSSON",Dinamarca,, Graduate School Yearbook 2008,, 978-87-91435-90-4, 2009,. ,141 , 144,,,
D+TEC - Desarrollo Tecnológico,Modelling and Optimization of Integrated Bioreactor and Membrane Separation Processes, Otro capítulo de libro publicado ," OSCAR ANDRES PRADO RUBIO, STEN BAY JØRGENSEN, GUNNAR EIGIL JONSSON",Dinamarca,, Graduate School Yearbook 2007,, 87-91435-63-3, 2008,. ,165 , 166,,,
D+TEC - Desarrollo Tecnológico,Extracting Linguistic Fuzzy models from numerical data-AFRELI algorithm, Otro capítulo de libro publicado ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE",Alemania, Springer-Verlag GmbH and Co. KG,  Interpretability Issues In Fuzzy Models,, 354002932X, 2003,. ,100 , 124,,,
D+TEC - Desarrollo Tecnológico,Linguistic Integrity : A framework for fuzzy modeling - AFRELI algorithm, Otro capítulo de libro publicado ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE",Inglaterra, World Scientific, A New Paradigm Of Knowledge Engineering By Soft Computing,, 9810245173, 2001,. 5,15 , 41,,,
D+TEC - Desarrollo Tecnológico,Predictive Control Using Fuzzy Models, Otro capítulo de libro publicado ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE",Inglaterra, Springer-Verlag GmbH and Co. KG, Advances In Soft Computing - Engineering Design And Manufacturing,, 1852330627, 1998,. 1,187 , 200,,,
D+TEC - Desarrollo Tecnológico,Predictive Control Using Fuzzy Models Applied to a Steam Generating Unit, Otro capítulo de libro publicado ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE",Bélgica, World Scientific Publishing, Fuzzy Logic And Intelligent Technologies For Nuclear Science And Industry,, 9810235321, 1998,. 1,151 , 160,,,
D+TEC - Desarrollo Tecnológico,Fuzzy Modeling and System Identification, Otro capítulo de libro publicado ," JAIRO JOSE ESPINOSA OVIEDO, JOOS VANDEWALLE",Bélgica, World Scientific Publishing, Fuzzy Logic And Intelligent Technologies For Nuclear Science And Industry,, 9810235321, 1998,. 1,111 , 120,,,
GINNOVA,Characterization of the key actors involved in humanitarian supply chains at the local level from a theoretical and academic perspective, Capítulo de libro , JOSE DAVID MEISEL DONOSO,Estados Unidos, IGI Global, Handbook of Research on Urban and Humanitarian Logistics Noted as an IGI Global Core Reference Title in Government and Law for 2019,, 9781522581604, 2019,. ,216 , 244,,,
GINNOVA,Metodología para priorizar la intervención de agrocadenas, Capítulo de libro ," JOSE FIDEL TORRES DELGADO, HELGA PATRICIA BERMEO ANDRADE, NELSON JAVIER TOVAR PERILLA, MIGUEL IGNACIO GOMEZ",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología ,, 978-958-754-313-1, 2018,. ,16 , 26,,,
GINNOVA,Integración de las TIC para la gestión de unidades agrícolas, Capítulo de libro ," DORA LUZ GONZALEZ BANALES, HELGA PATRICIA BERMEO ANDRADE",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología ,, 978-958-754-313-1, 2018,. ,201 , 226,,,
GINNOVA,Metodología para planificar el mejoramiento logístico en agrocadenas, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, NELSON JAVIER TOVAR PERILLA, YANNETH BOHORQUEZ PEREZ, CLAUDIA PATRICIA VALENZUELA REAL, LUIS FELIPE LOZADA VALENCIA, JOSE FIDEL TORRES DELGADO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología ,, 978-958-754-313-1, 2018,. ,27 , 40,,,
GINNOVA,Explorando rutas para la innovación social y económica en zonas productoras de hoja de cachaco en el Tolima, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, CLAUDIA PATRICIA VALENZUELA REAL, YANNETH BOHORQUEZ PEREZ, ANDREA MILENA SANCHEZ RIANO, JHUSTY MELIZA MORENO HENAO, CLAUDIA PATRICIA RONDON POLOCHE",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología ,, 978-958-754-313-1, 2018,. ,269 , 296,,,
GINNOVA,I+D para la búsqueda de nuevas alternativas agroindustriales, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, CLAUDIA PATRICIA VALENZUELA REAL, YANNETH BOHORQUEZ PEREZ, ANDREA MILENA SANCHEZ RIANO, JHUSTY MELIZA MORENO HENAO, CLAUDIA PATRICIA RONDON POLOCHE",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología ,, 978-958-754-313-1, 2018,. ,227 , 266,,,
GINNOVA,Metodología para priorizar la intervención de agrocadenas, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, NELSON JAVIER TOVAR PERILLA, JOSE FIDEL TORRES DELGADO, MIGUEL IGNACIO GOMEZ",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,16 , 26,,,
GINNOVA,Referentes teóricos para el estudio de agrocadenas, Capítulo de libro ," NELSON JAVIER TOVAR PERILLA, CARLOS ANTONIO MEISEL DONOSO, OMAR ARLEY ARENAS QUIMBAYO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,41 , 66,,,
GINNOVA,Metodología para planificar el mejoramiento logístico en agrocadenas, Capítulo de libro ," NELSON JAVIER TOVAR PERILLA, JOSE FIDEL TORRES DELGADO, HELGA PATRICIA BERMEO ANDRADE, YANNETH BOHORQUEZ PEREZ, CLAUDIA PATRICIA VALENZUELA REAL, LUIS FELIPE LOZADA VALENCIA",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,27 , 40,,,
GINNOVA,Caracterización y diseño de alternativas de mejora en centros de acopio primario, Capítulo de libro ," CAROLINA SAAVEDRA MORENO, NELSON JAVIER TOVAR PERILLA",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,179 , 200,,,
GINNOVA,Exploración de nuevos mercados para frutas con potencial exportador, Capítulo de libro ," SINDY LORENA NIETO JARA, ANGIE MARCELA RAMIREZ RUBIO",Colombia, Ediciones Unibagué, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,143 , ,,,
GINNOVA,Propuesta para la integración regional del sector hortofrutícola del Tolima, Capítulo de libro ," NELSON JAVIER TOVAR PERILLA, JOSE FIDEL TORRES DELGADO, MIGUEL IGNACIO GOMEZ",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el sector hortofrutícola del Tolima: Aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,317 , 325,,,
GINNOVA,Referentes teóricos para el estudio de agrocadenas, Capítulo de libro , CARLOS ANTONIO MEISEL DONOSO,Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración de valor en el Sector Hortofrutícola del Tolima Aportes desde la Ciencia y la Tecnología,, 978-958-754-313-1, 2018,. ,41 , 66,,,
GINNOVA,Caracterización y diseño de alternativas de mejora en centros de acopio primarios, Capítulo de libro ," NELSON JAVIER TOVAR PERILLA, CAROLINA SAAVEDRA MORENO",Colombia, Editorial Universidad De Ibague Coruniversitaria, Logística para la integración del valor en el sector hortofrutícola del Tolima: aportes desde la ciencia y la tecnología,, 978-958-754-312-4, 2018,. ,179 , 200,,,
GINNOVA,Modelo de integración logística para la generación de valor en turismo. Caso de la Ruta Turística Mutis en el Tolima, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, CLARA EUGENIA SEGOVIA BORRAY, JUAN SEBASTIAN PELAEZ ZUNIGA",Colombia, Universidad Externado de Colombia, Desafíos actuales en la gestión e innovación del turismo: Perspectivas y apuestas para su manejo,, 978-958-772-493-6, 2016,. ,57 , 82,,,
GINNOVA,Collaboration & Knowledge Management: an Integrative Model to comprehensively Assess Green Collaboration in Supply Chain Networks, Capítulo de libro ," CARLOS ANTONIO MEISEL DONOSO, HELMUT ZSIFKOVITS",Colombia, Universidad Nacional Sede Manizales, Green Supply Chains: Applications In Agroindustries,, 9789587619249, 2014,. ,101 , 117,,,
GINNOVA,El programa CENDES-Tolima en la Universidad de Ibagué, Capítulo de libro ," HELGA PATRICIA BERMEO ANDRADE, GEISLER DAYANI ROJAS FORERO",Colombia, Red Latinoamericana de Cooperación Universitaria - RLCU, Responsabilidad Social de las Universidades,, 978-987-22811-6-8, 2014,. ,147 , 165,,,
GINNOVA,El programa CENDES como modelo de RSI en la Universidad de Ibagué, Otro capítulo de libro publicado ," HELGA PATRICIA BERMEO ANDRADE, GEISLER DAYANI ROJAS FORERO",Argentina, Red Latinoamericana de Cooperación Universitaria - RLCU, Responsabilidad Social de las Universidades,, 978-987-22811-6-8, 2014,. ,142 , 164,,,
GINNOVA,Collaboration relationships in logistics:A case of project management social network analysis, Capítulo de libro ," CARLOS ANTONIO MEISEL DONOSO, HELMUT ZSIFKOVITS",Alemania, Rainer Hampp Verlag, Logistics Systems Engineering: 1. Wissenschaftlicher Industrielogistik-Dialog in Leoben,, 978-3-86618-958-4, 2013,. ,151 , 166,,,
GINNOVA,Impacto socio-económico del programa CENDES, Otro capítulo de libro publicado , HELGA PATRICIA BERMEO ANDRADE,Colombia, Universidad de Ibagué, Historia E Impacto Socio-Económico Del Programa Cendes Tolima,, 978-958-754-050-5, 2012,. ,39 , 64,,,
GINNOVA,Collaboration & Knowledge Management: An integrative model for assesing collaboration in supply cahin netwroks, Otro capítulo de libro publicado , CARLOS ANTONIO MEISEL DONOSO,Portugal, CLEGI - Centro Lusiada de Investigacao e Desemvolvimento em Engenharia e Gestao Industrial, Managing Services in the Knowledge Economy. MSKE 2011 International Conference,, 9789896401030, 2011,. ,664 , 672,,,
GINNOVA,Intersectoral Cooperation Network for Small and Medium Enterprises: A theoretical Approach, Capítulo de libro , CARLOS ANTONIO MEISEL DONOSO,Alemania, Gabler Verlag / Springer Fachmedien Wiesbaden GmbH 2010, Supply Chain Network Management  Gestaltungskonzepte und Stand der praktischen Anwendung,, 978-3-8349-6000-9, 2010,. ,321 , 335,,,
GINNOVA,Producción de Conocimiento en el Contexto Nacional, Otro capítulo de libro publicado , GLORIA PIEDAD BARRETO BONILLA,Colombia, Universidad de Ibagué, Cátedra Fundadores 2007,, 978-958-8028-71-2, 2008,. ,89 , 108,,,
